Country,Province_State,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio,Last_Update
Brazil,Rio Grande do Norte,544618,8337,15530.106337505453,1.5307977334572123,2022-07-26 04:20:58
Brazil,Rio Grande do Sul,2624124,40373,23064.68203753125,1.5385324778859535,2022-07-26 04:20:58
Brazil,Rio de Janeiro,2434132,74654,14098.696995408558,3.066965965691261,2022-07-26 04:20:58
Brazil,Rondonia,440996,7291,24813.7405224437,1.6533029778047874,2022-07-26 04:20:58
Brazil,Roraima,171360,2158,28288.38436280976,1.2593370681605975,2022-07-26 04:20:58
Brazil,Santa Catarina,1831364,22186,25560.61672724999,1.2114467686380206,2022-07-26 04:20:58
Brazil,Sao Paulo,5883611,172555,12813.007081222437,2.932807760404282,2022-07-26 04:20:58
Brazil,Sergipe,339776,6406,14781.249891242687,1.8853597664343567,2022-07-26 04:20:58
Brazil,Tocantins,337036,4182,21428.144546324987,1.240817004711663,2022-07-26 04:20:58
Brunei,Brunei,200279,225,45779.83601648521,0.11234328112283365,2022-07-26 04:20:58
Bulgaria,Bulgaria,1198359,37342,17246.43427414335,3.1160945926888353,2022-07-26 04:20:58
Burkina Faso,Burkina Faso,21128,387,101.0750562662947,1.8316925407042788,2022-07-26 04:20:58
Burma,Burma,613966,19434,1128.4108151558155,3.165321858213647,2022-07-26 04:20:58
Burundi,Burundi,44437,38,373.7096831570609,0.08551432364921124,2022-07-26 04:20:58
Cabo Verde,Cabo Verde,62078,409,11165.348892422138,0.6588485453783949,2022-07-26 04:20:58
Cambodia,Cambodia,136612,3056,817.1077035781688,2.236992357918777,2022-07-26 04:20:58
Cameroon,Cameroon,120068,1931,452.3039822700817,1.6082553219842088,2022-07-26 04:20:58
Canada,Alberta,592767,4652,13431.846578381952,0.7847940253084265,2022-07-26 04:20:58
Canada,British Columbia,377372,3855,7383.645635411414,1.0215384289242444,2022-07-26 04:20:58
Canada,Diamond Princess,0,1,,,2020-12-21 13:27:30
Canada,Grand Princess,13,0,,0.0,2020-12-21 13:27:30
Canada,Manitoba,146024,2056,10600.522534386146,1.407987728044705,2022-07-26 04:20:58
Canada,New Brunswick,70541,438,9043.799111017664,0.6209154959527083,2022-07-26 04:20:58
Canada,Newfoundland and Labrador,48954,200,9389.58311355768,0.4085467990358296,2022-07-26 04:20:58
Canada,Northwest Territories,11511,22,25634.687332977017,0.1911215359221614,2022-07-26 04:20:58
Canada,Nova Scotia,111769,461,11434.671806534712,0.412457837146257,2022-07-26 04:20:58
Canada,Nunavut,3531,7,9105.20887055183,0.19824412347776835,2022-07-26 04:20:58
Canada,Ontario,1372956,13615,9332.328336922395,0.9916559598413933,2022-07-26 04:20:58
Canada,Prince Edward Island,44852,48,28358.982789362537,0.10701863907963971,2022-07-26 04:20:58
Canada,Quebec,1138880,15876,13339.464589535744,1.3940011239112111,2022-07-26 04:20:58
Canada,Repatriated Travellers,13,0,,0.0,2022-07-26 04:20:58
Canada,Saskatchewan,140291,1438,11872.305710750754,1.025012295870726,2022-07-26 04:20:58
Canada,Yukon,4610,26,11222.55221773212,0.5639913232104121,2022-07-26 04:20:58
Central African Republic,Central African Republic,14712,113,304.611156984068,0.7680804785209353,2022-07-26 04:20:58
Chad,Chad,7432,193,45.24573113649642,2.5968783638320776,2022-07-26 04:20:58
Chile,Antofagasta,146816,1811,24165.890304081742,1.2335167829119442,2022-07-26 04:20:58
Chile,Araucania,237090,2621,24768.497237846103,1.105487367666287,2022-07-26 04:20:58
Chile,Arica y Parinacota,63948,823,28287.06406921811,1.2869831738287358,2022-07-26 04:20:58
Chile,Atacama,87437,632,30260.881001162856,0.7228061347027003,2022-07-26 04:20:58
Chile,Aysen,28167,188,27304.717036003025,0.6674477225121597,2022-07-26 04:20:58
Chile,Biobio,403941,4391,25946.794877971228,1.0870399390009928,2022-07-26 04:20:58
Chile,Coquimbo,161708,1750,21345.16741333657,1.0821975412471863,2022-07-26 04:20:58
Chile,Los Lagos,207721,2363,25065.64435241364,1.137583585675016,2022-07-26 04:20:58
Chile,Los Rios,116586,1245,30294.90407627125,1.0678812207297617,2022-07-26 04:20:58
Chile,Magallanes,57904,721,34770.285769186885,1.245164410058027,2022-07-26 04:20:58
Chile,Maule,271908,3008,26021.149337288865,1.106256527943275,2022-07-26 04:20:58
Chile,Metropolitana,1635342,29095,22991.510525800782,1.7791385532812096,2022-07-26 04:20:58
Chile,Nuble,116593,1139,24259.429182557964,0.9769025584726356,2022-07-26 04:20:58
Chile,OHiggins,178058,2603,19469.35941523473,1.4618832065956038,2022-07-26 04:20:58
Chile,Tarapaca,89705,1099,27137.44637854779,1.2251268045259462,2022-07-26 04:20:58
Chile,Unknown,43,2,,4.651162790697675,2022-07-26 04:20:58
Chile,Valparaiso,388380,5892,21387.718059675022,1.5170709099335702,2022-07-26 04:20:58
China,Anhui,1504,6,2.3782416192283367,0.39893617021276595,2022-07-26 04:20:58
China,Beijing,3738,9,17.35376044568245,0.24077046548956663,2022-07-26 04:20:58
China,Chongqing,780,6,2.514506769825919,0.7692307692307693,2022-07-26 04:20:58
China,Fujian,3648,1,9.256533874651105,0.027412280701754384,2022-07-26 04:20:58
China,Gansu,1189,2,4.508911642017444,0.16820857863751051,2022-07-26 04:20:58
China,Guangdong,8043,8,7.088841882601798,0.09946537361680965,2022-07-26 04:20:58
China,Guangxi,2061,2,4.183922046285018,0.09704027171276079,2022-07-26 04:20:58
China,Guizhou,186,2,0.5166666666666667,1.075268817204301,2022-07-26 04:20:58
China,Hainan,326,6,3.490364025695932,1.8404907975460123,2022-07-26 04:20:58
China,Hebei,2007,7,2.656167284277396,0.3487792725460887,2022-07-26 04:20:58
China,Heilongjiang,2990,13,7.924728332891598,0.43478260869565216,2022-07-26 04:20:58
China,Henan,3207,22,3.338885996876627,0.6859993763642033,2022-07-26 04:20:58
China,Hong Kong,1326123,9472,17688.743799509884,0.714262553322731,2022-07-26 04:20:58
China,Hubei,68407,4512,115.6109514956904,6.5958162176385455,2022-07-26 04:20:58
China,Hunan,1409,4,2.042324974634005,0.28388928317955997,2022-07-26 04:20:58
China,Inner Mongolia,2166,1,8.547750591949487,0.046168051708217916,2022-07-26 04:20:58
China,Jiangsu,2318,0,2.879145447770463,0.0,2022-07-26 04:20:58
China,Jiangxi,1436,1,3.089500860585198,0.06963788300835655,2022-07-26 04:20:58
China,Jilin,40293,5,149.01257396449705,0.012409103318194227,2022-07-26 04:20:58
China,Liaoning,1734,2,3.977976600137646,0.11534025374855825,2022-07-26 04:20:58
China,Macau,787,6,121.19961437886352,0.7623888182973316,2022-07-26 04:20:58
China,Ningxia,122,0,1.7732558139534884,0.0,2022-07-26 04:20:58
China,Qinghai,148,0,2.454394693200664,0.0,2022-07-26 04:20:58
China,Shaanxi,3370,3,8.721532091097309,0.08902077151335312,2022-07-26 04:20:58
China,Shandong,2826,7,2.812779934308749,0.24769992922859166,2022-07-26 04:20:58
China,Shanghai,63544,595,262.14521452145215,0.9363590582903185,2022-07-26 04:20:58
China,Shanxi,427,0,1.148466917697687,0.0,2022-07-26 04:20:58
China,Sichuan,2578,3,3.090756504016305,0.11636927851047324,2022-07-26 04:20:58
China,Tianjin,2078,3,13.32051282051282,0.14436958614051973,2022-07-26 04:20:58
China,Tibet,1,0,0.0290697674418604,0.0,2022-07-26 04:20:58
China,Unknown,673506,0,,0.0,2022-07-26 04:20:58
China,Xinjiang,1008,3,4.053075995174909,0.2976190476190476,2022-07-26 04:20:58
China,Yunnan,2205,2,4.565217391304348,0.09070294784580499,2022-07-26 04:20:58
China,Zhejiang,3197,1,5.572598919295799,0.03127932436659368,2022-07-26 04:20:58
Colombia,Amazonas,7607,265,9932.235699643552,3.4836334954647037,2022-07-26 04:20:58
Colombia,Antioquia,934398,18371,14583.785305743531,1.9660786945177537,2022-07-26 04:20:58
Colombia,Arauca,16555,544,6314.508685071746,3.286016309272123,2022-07-26 04:20:58
Colombia,Atlantico,413277,10163,16299.516035585642,2.4591254775852516,2022-07-26 04:20:58
Colombia,Bolivar,201760,3256,9746.341981827052,1.6137985725614592,2022-07-26 04:20:58
Colombia,Boyaca,126726,2806,10409.76657992272,2.2142259678361187,2022-07-26 04:20:58
Colombia,Caldas,117728,2533,11793.37944713525,2.1515697200326174,2022-07-26 04:20:58
Colombia,Capital District,1820163,29562,24555.10008275137,1.6241402555705176,2022-07-26 04:20:58
Colombia,Caqueta,25168,1032,6268.664894928628,4.100445009535918,2022-07-26 04:20:58
Colombia,Casanare,42175,1012,10029.631109335463,2.3995257854179015,2022-07-26 04:20:58
Colombia,Cauca,73945,1801,5049.204909838797,2.435594022584353,2022-07-26 04:20:58
Colombia,Cesar,107777,2676,8977.122609685033,2.4829045158057843,2022-07-26 04:20:58
Colombia,Choco,18722,429,3500.577757999798,2.291421856639248,2022-07-26 04:20:58
Colombia,Cordoba,121448,3947,6804.636754160029,3.2499505961399118,2022-07-26 04:20:58
Colombia,Cundinamarca,323508,7316,11082.608785019836,2.2614587583614623,2022-07-26 04:20:58
Colombia,Guainia,2768,37,5753.0032838674815,1.3367052023121386,2022-07-26 04:20:58
Colombia,Guaviare,5612,105,6780.480143052183,1.8709907341411263,2022-07-26 04:20:58
Colombia,Huila,101599,3532,9233.032772136325,3.476412169411116,2022-07-26 04:20:58
Colombia,La Guajira,57272,1534,6504.042881802489,2.678446710434418,2022-07-26 04:20:58
Colombia,Magdalena,116584,3638,8688.976900247886,3.120496809167639,2022-07-26 04:20:58
Colombia,Meta,105945,2561,10189.74302746311,2.4172919911274717,2022-07-26 04:20:58
Colombia,Narino,105264,3324,6455.569510950624,3.1577747378020975,2022-07-26 04:20:58
Colombia,Norte de Santander,121641,5123,8154.581819668845,4.211573400415978,2022-07-26 04:20:58
Colombia,Putumayo,20683,776,5940.284104290285,3.75187351931538,2022-07-26 04:20:58
Colombia,Quindio,71444,2061,13232.72285443338,2.8847768881921505,2022-07-26 04:20:58
Colombia,Risaralda,107572,2475,11402.574302974026,2.3007845907857063,2022-07-26 04:20:58
Colombia,San Andres y Providencia,10295,155,16799.934725848565,1.5055852355512385,2022-07-26 04:20:58
Colombia,Santander,288465,8228,13203.04443763997,2.85233910526407,2022-07-26 04:20:58
Colombia,Sucre,66646,1735,7365.313865192852,2.603307025177805,2022-07-26 04:20:58
Colombia,Tolima,125560,4035,9439.27432759454,3.2136030582988213,2022-07-26 04:20:58
Colombia,Unknown,27662,300,,1.084520280529246,2022-07-26 04:20:58
Colombia,Valle del Cauca,556348,15187,12429.896561261838,2.729766261404732,2022-07-26 04:20:58
Colombia,Vaupes,1896,22,4647.400544157658,1.160337552742616,2022-07-26 04:20:58
Colombia,Vichada,3421,62,3173.233897298902,1.8123355743934522,2022-07-26 04:20:58
Comoros,Comoros,8270,160,951.0174276531028,1.9347037484885128,2022-07-26 04:20:58
